PlanetName,HostName,NumOfStars,NumOfPlanets,DiscoveryMethod,DiscoveryYear,DiscoveryFacility,ControversialFlag,OrbitalPeriod,OrbitSemi-MajorAxis,Eccentricity,EquilibriumTemperature,StellarEffectiveTemperature,StellarMetallicity,StellarSurfaceGravity,RightAscension,Declination,DistancetoPlanetarySystem,StellarBrightnessGaia,PlanetMass,StellarMass,PlanetRadiusKm,StellarRadiusKm,PlanetGravity,StellarVolume,StellarDensity
Kepler-1437 b,Kepler-1437,1,1,Transit,2016,Kepler,0,10.9294815,0.0951,0.0,770.0,5792.0,-0.14,4.55,291.8649164,49.325869,2101.69,15.6607,1.9101335861442573e+30,1.90896e+30,7708.91,598302.0,2145277677504.9114,8.971188315437494e+17,2127878640909.91
Kepler-1438 b,Kepler-1438,1,1,Transit,2016,Kepler,0,2.31942009,0.033,0.0,1241.0,5551.0,-0.1,4.53,289.289819,40.6816262,1154.13,14.861,1.7721655882948532e+30,1.769765e+30,5479.0599999999995,591345.0,3940015317544.0,8.661864716657103e+17,2043168599247.0803
Kepler-1438 b,Kepler-1438,1,1,Transit,2016,Kepler,0,2.31941571,0.0346,0.0,1490.0,5624.0,0.3,4.26,289.289819,40.6816262,1154.13,14.861,2.042642746704267e+30,2.02827e+30,7900.04,869625.0,2184437177944.1006,2.754765646199211e+18,736276787391.4911
Kepler-1439 b,Kepler-1439,1,1,Transit,2016,Kepler,0,8.07392849,0.0579,0.0,392.0,3471.0,0.0,4.88,285.7396971,40.9798688,225.393,16.0979,7.899274442903564e+29,7.954e+29,8282.300000000001,264366.0,768583420020.9338,7.739366427558046e+16,10277327058294.713
Kepler-1439 b,Kepler-1439,1,1,Transit,2016,Kepler,0,8.07394097,0.0594,0.0,420.0,3675.0,-0.32,4.87,285.7396971,40.9798688,225.393,16.0979,8.529223677554793e+29,8.550549999999999e+29,10129.890000000001,278280.0,554760803769.3461,9.026816069465574e+16,9472387533100.836
Kepler-144 b,Kepler-144,1,2,Transit,2014,Kepler,0,5.88528169,0.0652,0.0,1106.0,6363.0,-0.32,4.46,281.9156128,42.7755535,384.917,11.9438,2.1229002434455255e+30,2.10781e+30,7008.1,702657.0,2884926347356.669,1.4531777536228828e+18,1450483256260.3364
Kepler-144 b,Kepler-144,1,2,Transit,2014,Kepler,0,5.88527364,0.0653,0.0,1253.0,6070.0,-0.08,4.16,281.9156128,42.7755535,384.917,11.9438,2.132689012783365e+30,2.127695e+30,10129.890000000001,994851.0,1387151182393.3545,4.124418552819331e+18,515877564983.2073
Kepler-144 c,Kepler-144,1,2,Transit,2014,Kepler,0,10.10463505,0.0935,0.0,923.0,6363.0,-0.32,4.46,281.9156128,42.7755535,384.917,11.9438,2.1238061591270802e+30,2.10781e+30,7008.1,702657.0,2886157446192.457,1.4531777536228828e+18,1450483256260.3364
Kepler-144 c,Kepler-144,1,2,Transit,2014,Kepler,0,10.10463142,0.0937,0.0,1046.0,6070.0,-0.08,4.16,281.9156128,42.7755535,384.917,11.9438,2.1374655705741336e+30,2.127695e+30,10129.890000000001,994851.0,1390257968121.3813,4.124418552819331e+18,515877564983.2073
Kepler-1440 b,Kepler-1440,1,1,Transit,2016,Kepler,0,39.859505,0.2274,0.0,597.0,5675.0,0.12,4.21,285.3469737,48.3122283,1115.35,14.1018,1.9634908764529433e+30,1.94873e+30,10321.02,897453.0,1230238664279.9326,3.027776056460154e+18,643617613608.5531
